,sofifa_id,player_url,long_name,player_positions,overall,age,height_cm,weight_kg,club_name,club_jersey_number,nationality_name,pace,shooting,passing,dribbling,defending,physic,power_shot_power,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,player_face_url,club_logo_url,nation_logo_url,nation_flag_url,position_category
0,53739,https://sofifa.com/player/53739/lee-grant/220002,Lee Grant,GK,65,38,193,83,Manchester United,13.0,England,,,,,,,52,65,67,69,64,63,39.0,https://cdn.sofifa.net/players/053/739/22_120.png,https://cdn.sofifa.net/teams/11/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Goalkeeper
1,41236,https://sofifa.com/player/41236/zlatan-ibrahimovic/220002,Zlatan Ibrahimović,ST,84,39,195,95,AC Milan,11.0,Sweden,65.0,87.0,78.0,79.0,34.0,77.0,88,13,15,10,9,12,,https://cdn.sofifa.net/players/041/236/22_120.png,https://cdn.sofifa.net/teams/47/60.png,https://cdn.sofifa.net/teams/1363/60.png,https://cdn.sofifa.net/flags/se.png,Forward
2,264561,https://sofifa.com/player/264561/james-norris/220002,James Norris,LB,60,18,178,73,Liverpool,54.0,England,72.0,35.0,51.0,50.0,57.0,54.0,36,10,9,12,7,14,,https://cdn.sofifa.net/players/264/561/22_120.png,https://cdn.sofifa.net/teams/9/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Defender
3,264453,https://sofifa.com/player/264453/micky-van-de-ven/220002,Micky van de Ven,"CB, LB",68,20,193,89,VfL Wolfsburg,5.0,Netherlands,72.0,43.0,56.0,60.0,67.0,73.0,48,7,13,13,11,7,,https://cdn.sofifa.net/players/264/453/22_120.png,https://cdn.sofifa.net/teams/175/60.png,,https://cdn.sofifa.net/flags/nl.png,Defender
4,264430,https://sofifa.com/player/264430/christian-gomez-vela/220002,Christian Gómez Vela,GK,64,21,187,80,Atlético de Madrid,28.0,Spain,,,,,,,46,64,62,61,63,66,40.0,https://cdn.sofifa.net/players/264/430/22_120.png,https://cdn.sofifa.net/teams/240/60.png,,https://cdn.sofifa.net/flags/es.png,Goalkeeper
5,264415,https://sofifa.com/player/264415/charlie-setford/220002,Charlie Setford,GK,58,17,193,82,Ajax,51.0,England,,,,,,,44,58,55,59,59,57,29.0,https://cdn.sofifa.net/players/264/415/22_120.png,https://cdn.sofifa.net/teams/245/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Goalkeeper
6,264349,https://sofifa.com/player/264349/james-mcatee/220002,James McAtee,CAM,61,18,187,78,Manchester City,87.0,England,63.0,59.0,58.0,66.0,40.0,53.0,62,12,6,6,10,11,,https://cdn.sofifa.net/players/264/349/22_120.png,https://cdn.sofifa.net/teams/10/60.png,,https://cdn.sofifa.net/flags/gb-eng.png,Midfielder
7,264325,https://sofifa.com/player/264325/martin-satriano/220002,Martín Satriano,ST,67,20,187,75,Inter,48.0,Uruguay,67.0,66.0,52.0,66.0,29.0,65.0,61,11,8,13,13,7,,https://cdn.sofifa.net/players/264/325/22_120.png,https://cdn.sofifa.net/teams/44/60.png,,https://cdn.sofifa.net/flags/uy.png,Forward
8,264311,https://sofifa.com/player/264311/ruben-providence/220002,Ruben Providence,"LW, RW, ST",67,19,172,59,Club Brugge KV,14.0,France,83.0,58.0,52.0,77.0,27.0,37.0,68,7,7,12,10,5,,https://cdn.sofifa.net/players/264/311/22_120.png,https://cdn.sofifa.net/teams/231/60.png,,https://cdn.sofifa.net/flags/fr.png,Forward
9,264266,https://sofifa.com/player/264266/fode-fofana/220002,Fodé Fofana,ST,64,18,188,74,PSV,42.0,Netherlands,79.0,64.0,58.0,62.0,22.0,66.0,66,13,6,7,13,10,,https://cdn.sofifa.net/players/264/266/22_120.png,https://cdn.sofifa.net/teams/247/60.png,,https://cdn.sofifa.net/flags/nl.png,Forward
